# Generated by James A. Foster when solving HW7. 
patientID	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	Simpson
AYAC01	0.4945164323392374	0.04614204651947973	0.0013938563779167972	0.0008314900243815879	0.09939048274723454	0.3235626455365195	2.529852256628213e-05	0.0018612471942309923	0.013861359522638336	7.309941520467836e-05	0.018342041800590122	23288	1.2489698918808638	2.764083921045238
AYAC02	0.6752256017633733	0.2841456786181501	0.0018426771758656062	0.03758653051563417	4.464617328552749e-05	0.0	2.9488086812927577e-05	0.0	0.0	0.0004452132882514228	0.0006801643786268412	40926	0.7726215979153231	1.8584348880097592
AYAC03	0.2988988574083742	0.3366439249686981	0.0008212921401808116	6.940735479047098e-05	0.1436266908783549	0.16132430355518462	0.000479428636078947	0.04400760052543568	0.004455985833629902	4.1363335539377896e-05	0.00963114536373301	25299	1.521094731732457	3.9781043384416415
AYAC04	0.8828673700411095	0.09108428451543404	0.004369517944930395	0.021185525547729848	0.0	4.905808477237049e-05	2.4767188428769565e-05	0.0	0.00010479653187309248	4.973145016908693e-05	0.00026494869555283786	35911	0.4439995348126398	1.2686794883469839
AYAC05	0.0012239001528286317	0.7746865107924344	0.001111262657188805	0.1777011448031106	0.0005782164494459757	0.0	0.029465383109260175	0.0	0.000758895815039457	0.0013757861635220125	0.013098900057169939	26537	0.7048694308146654	1.5803675047655052
AYAC06	0.0014584647046624172	0.006301940592184592	0.9722359038155824	0.0005257229737768096	0.0	0.0	0.01888088971678568	0.0	0.00011318577262235899	2.4283632831471587e-05	0.0004596087915544205	28273	0.1587771674159599	1.0574809827229876
AYAC07	0.4967566208354265	0.4937230793635611	0.0009927089452744279	0.006679165533091124	0.0	0.0	0.001341545734493597	0.0	0.0	1.965717880169838e-05	0.0004872224093515753	47263	0.7552052396889297	2.038406623344699
AYAC08	0.1883191087154629	0.8095081604871948	0.000353473685008717	5.34880235557282e-05	0.0	2.0878570235510272e-05	6.99102936241737e-05	0.0	9.956779243643975e-05	2.8153153153153154e-05	0.0015472592793286412	39146	0.5074556811011329	1.447655485220374
AYAC09	0.9994273937070547	0.00037448852198796384	0.0	6.114492373242556e-05	0.0	2.1910604732690622e-05	2.2186723464678736e-05	0.0	0.0	1.549714852467146e-05	7.73783705029122e-05	56758	0.0131899242565377	1.0011440408504941
AYAC10	0.6671374368894237	0.30520000786475643	0.00035086772363060556	0.024908440564814352	0.0006384486540000485	0.0	4.947729345455055e-05	0.0	3.29144207899156e-05	0.0	0.0016824065891304129	60135	0.7491766305006241	1.8558205596178843
